x,y,z
0,0,0
0.469547619,96.08346581,10.23465535
1.171408419,72.41676366,11.65523175
1.852179446,63.60610554,5.565387084
1.878980044,20.74700754,10.69234069
1.919319831,68.32813355,11.22148858
2.010754619,86.21915174,6.068541415
2.021839744,32.00171508,-4.757790751
3.183892953,59.09841653,26.31502377
3.918779225,94.93188224,20.03059448
5.433798834,32.77204016,-8.558647303
5.802916032,1.632850268,5.129806997
6.022547163,13.20681063,-8.159707565
6.414749635,61.78766919,-3.905811772
6.916699546,95.64057228,25.47843125
7.10360582,2.065099947,-1.153563386
8.71292997,75.83786538,0.127647749
9.394051076,47.8370307,25.81543537
9.609840789,48.56275959,-0.490326959
9.710127579,58.64101662,2.178736295
10.02268873,51.88351488,17.85929723
10.20448107,74.86636199,-5.763753805
11.03751412,10.02939423,5.162275843
11.82744259,18.56359443,15.55047029
11.8727719,87.42879666,8.072867307
12.01965612,79.92025874,28.71862266
12.38199828,53.61774947,17.75825644
12.89262977,18.32798362,29.41965711
13.17978624,82.21177332,25.87044633
13.54740642,5.684807643,14.88924235
13.81829513,92.95293168,19.9515303
14.33532874,68.74882764,29.57639109
14.94483047,64.55702445,21.63360653
15.89695836,24.08287799,0.897475819
16.13095179,8.342243544,-0.663189781
16.24929347,43.04024395,7.681425509
16.46941565,85.77226442,-3.590781347
17.16296773,69.00250202,28.73145641
18.3191362,22.4317029,0.866110704
18.61930059,25.86840669,16.90329245
19.65823617,66.99165466,-0.487710298
19.99965249,75.67786427,-3.009119834
20.88767561,90.37197397,28.03810444
20.9843749,42.40322519,25.92249429
21.03825611,56.54213119,22.59865917
22.30816326,72.55943642,0.14570097
22.39246881,16.05388225,2.001156779
22.7414628,35.53688485,4.487562358
23.78928214,57.5751162,-6.940529239
24.4425592,29.21475268,25.26880849
24.87531435,40.72411714,3.340298632
25.32916025,58.4476069,-7.665745641
25.43564818,35.67068904,8.825957969
26.45556121,25.39416426,-0.343255197
26.53894909,14.81408609,14.16471216
27.00079732,77.40473327,4.921394555
28.28069626,94.13777047,17.98300241
28.94060929,51.13189825,12.08313107
29.00776072,37.99269559,6.237692879
29.61401975,63.04479369,29.77603159
29.74369509,8.960303424,17.22057925
29.8282326,69.69972417,1.162717929
30.15748167,69.56254456,26.88445847
31.19449955,39.84342586,26.3093183
31.54283509,14.48477593,28.75886819
31.79831794,29.30202845,-7.165208873
31.85689525,36.85846061,0.992942795
34.53516807,79.63914745,-3.581294244
35.95079006,86.38556059,4.421822419
35.99780645,39.90253217,26.93224272
36.37107709,48.80562806,26.19793382
36.756187,19.70542802,15.88786616
36.87251707,78.5152912,-3.125876038
38.34415188,89.6671293,-8.677016341
39.65057408,24.53672099,18.42113611
39.82210622,6.271295202,19.59535671
40.71832972,39.26756765,14.93178692
41.42629945,84.89435553,1.711761258
41.466194,73.08558068,1.535939893
42.36547993,2.467872839,24.77954122
42.38550486,26.21181492,-9.68463586
42.87687009,78.85455123,3.704439374
43.14184354,27.28219024,27.95444083
43.44166256,18.52323252,29.18107717
43.58649253,45.98558838,14.01568948
43.70319538,11.7531856,23.14627658
43.75872113,67.93927735,3.068035271
43.86015135,94.04319453,29.68044974
44.71253786,77.05807485,-5.81488445
45,50,2
45.35426827,90.39839549,-4.661541163
45.61503322,51.82007139,-0.1574726
46.14793623,27.35420348,6.362163815
46.63107729,96.19363785,19.22836397
46.86512016,87.65052453,27.70334399
49.04588086,95.89827219,29.91849005
50.13243819,13.14827993,1.307986038
52.10366062,69.96220543,26.79131243
52.18483218,94.73705905,21.32937753
52.32480535,98.18293898,5.312322366
52.88949198,21.68969844,7.1518289
53.5632803,81.55238188,-8.415379097
54.4883183,17.96036776,27.81206134
54.88135039,31.1795882,6.050380032
56.66014542,34.72335179,-4.748426861
56.80445611,66.30782031,-7.277037041
56.84339489,2.566271805,16.6343647
56.91007386,12.88605655,6.412062508
56.99649107,77.86953959,-1.610002014
57.01967704,35.56127378,1.862250603
57.22519058,5.342718179,-8.052388161
57.43252488,25.94225643,13.08560976
57.59464956,49.73913655,28.71178687
57.61573344,23.22341422,26.96635066
57.72285886,95.18744768,7.610550113
58.12728726,55.73687913,3.667924595
58.65129348,9.784448449,8.217765978
58.99099764,15.94144634,-7.60222807
59.08727612,77.74075618,-5.371870667
59.20419313,13.24876348,24.49274187
60.27633761,37.77518393,-6.015402791
60.48455197,96.15701545,24.69157622
60.63932141,45.61405668,4.907162793
61.20957227,37.41699803,12.18751235
61.3965956,90.88437184,-0.104049778
61.55595643,51.00168523,10.79809498
61.69339969,46.35754244,1.482060797
61.76354971,42.46854688,6.963559537
61.8015429,18.11509617,-9.027472012
62.14784015,45.72234534,16.44470046
63.99210213,95.2791657,9.612213862
64.39901992,30.15986345,18.41347316
64.58941131,6.724963146,8.166495876
65.210327,58.75996352,16.87828562
65.31083255,55.21924699,17.5907306
65.32008199,37.38131379,17.81080024
65.63295895,1.642962959,4.971847333
66.01735375,28.35188466,-6.420218199
66.67667154,71.68596812,-0.694920287
66.741038,13.69002717,13.68921675
67.06378696,39.60597028,3.94077478
67.78165368,90.65554992,2.415233039
68.18202991,58.67843465,6.594274773
69.24721194,1.323685776,6.699454992
69.25315901,72.70442627,25.16939052
69.74287731,18.71308918,14.75304673
69.76311959,51.73791072,26.99867648
69.94792753,7.952208259,19.60390102
70.38885835,7.695644699,-9.325133065
70.44144019,45.81388273,7.855776619
71.42412995,57.75429488,10.39228786
71.51893664,69.63434888,27.17165669
71.63272041,18.98479119,6.269333833
72.20555995,54.38059501,29.22320531
72.52542798,27.03279052,11.74712215
72.99905624,90.40443929,23.19589474
73.01220295,62.88984391,-7.556858517
73.51940221,33.3145152,10.99881769
73.92635794,23.17016265,27.60838757
73.9550795,3.330462655,2.177854574
77.42336894,21.33119774,16.50018286
77.81567509,58.83171136,-5.380628114
78.05291763,79.80468339,-3.481822958
79.17250381,99.03389474,-9.375757422
79.36977034,24.00202734,28.08570789
79.91585642,87.26506554,29.61380006
80.6193989,79.97958846,28.51081279
80.73189587,27.75960977,-0.889619938
81.37978197,67.20478074,14.89537714
82.09932298,28.17301058,7.971665948
82.89400292,97.2919489,-0.063461397
83.26198455,38.34638942,-9.518551084
83.79449075,6.395526612,23.56756489
84.64086725,14.69466454,3.939039561
84.80082293,68.13925106,-6.364570719
85.58033424,45.86039618,26.89391927
86.63823259,45.69114216,24.87142939
86.81260574,3.536243576,-6.110282975
87.00121482,83.10484552,14.73921038
88.11031971,42.05394667,-1.803052522
88.17353619,86.05511738,17.04969929
89.17730008,45.36968446,-0.690234829
89.1923355,4.461230125,13.5495844
89.65465959,37.08527992,-9.891871444
91.94826137,30.68100995,22.54714599
92.55966383,26.33223767,0.07763953
92.80812935,95.9166603,25.45218664
92.92961976,63.94725164,11.87539607
93.42139979,82.07671207,17.85852579
94.37480785,27.76287063,18.26298825
94.437239,84.90383084,11.15759716
94.4668917,21.55076771,-7.387831714
95.27490115,1.142745863,7.845420506
95.60836347,5.537432042,-8.79058968
96.21885451,8.110138999,20.02380092
96.36627605,53.65792111,14.57858826
97.5521505,88.20414102,10.10883045
97.6459465,97.74951397,10.0955783
97.67610882,33.81589518,15.35990791
97.86183422,62.89818436,28.97024851
98.83738381,76.53252538,-0.023198358
99.88470066,95.94333408,3.358594784
